Absidia_anomala_NRRL_1807_R1.fq.gz	Absidia_anomala_NRRL_1807_R2.fq.gz	Absidia_anomala_NRRL_1807.merge.fa	PSH1	NRRL_1807
Absidia_blakesleeana_NRRL_1300_R1.fq.gz	Absidia_blakesleeana_NRRL_1300_R2.fq.gz	Absidia_blakesleeana_NRRL_1300.merge.fa	PSH2	NRRL_1300
Absidia_blakesleeana_NRRL_1301_R1.fq.gz	Absidia_blakesleeana_NRRL_1301_R2.fq.gz	Absidia_blakesleeana_NRRL_1301.merge.fa	PSH3	NRRL_1301
Absidia_blakesleeana_NRRL_1303_R1.fq.gz	Absidia_blakesleeana_NRRL_1303_R2.fq.gz	Absidia_blakesleeana_NRRL_1303.merge.fa	PSH4	NRRL_1303
Absidia_caerulea_RSA_138-_R1.fq.gz	Absidia_caerulea_RSA_138-_R2.fq.gz	Absidia_caerulea_RSA_138-.merge.fa	PSH5	RSA_138-
Absidia_caerulea_RSA_138+_R1.fq.gz	Absidia_caerulea_RSA_138+_R2.fq.gz	Absidia_caerulea_RSA_138+.merge.fa	PSH6	RSA_138_Plus
Absidia_californica_NRRL_2709_R1.fq.gz	Absidia_californica_NRRL_2709_R2.fq.gz	Absidia_californica_NRRL_2709.merge.fa	PSH7	NRRL_2709
Absidia_californica_NRRL_2967_R1.fq.gz	Absidia_californica_NRRL_2967_R2.fq.gz	Absidia_californica_NRRL_2967.merge.fa	PSH8	NRRL_2967
Absidia_coerulea_NRRL_1310_R1.fq.gz	Absidia_coerulea_NRRL_1310_R2.fq.gz	Absidia_coerulea_NRRL_1310.merge.fa	PSH9	NRRL_1310
Absidia_coerulea_NRRL_1312_R1.fq.gz	Absidia_coerulea_NRRL_1312_R2.fq.gz	Absidia_coerulea_NRRL_1312.merge.fa	PSH10	NRRL_1312
Absidia_coerulea_NRRL_1313_R1.fq.gz	Absidia_coerulea_NRRL_1313_R2.fq.gz	Absidia_coerulea_NRRL_1313.merge.fa	PSH11	NRRL_1313
Absidia_coerulea_NRRL_1314_R1.fq.gz	Absidia_coerulea_NRRL_1314_R2.fq.gz	Absidia_coerulea_NRRL_1314.merge.fa	PSH12	NRRL_1314
Absidia_coerulea_NRRL_1502_R1.fq.gz	Absidia_coerulea_NRRL_1502_R2.fq.gz	Absidia_coerulea_NRRL_1502.merge.fa	PSH13	NRRL_1502
Absidia_coerulea_NRRL_5926_R1.fq.gz	Absidia_coerulea_NRRL_5926_R2.fq.gz	Absidia_coerulea_NRRL_5926.merge.fa	PSH14	NRRL_5926
Absidia_coerulea_NRRL_A-26290_R1.fq.gz	Absidia_coerulea_NRRL_A-26290_R2.fq.gz	Absidia_coerulea_NRRL_A-26290.merge.fa	PSH15	NRRL_A-26290
Absidia_coerulea_NRRL_A-9483_R1.fq.gz	Absidia_coerulea_NRRL_A-9483_R2.fq.gz	Absidia_coerulea_NRRL_A-9483.merge.fa	PSH16	NRRL_A-9483
Absidia_corymbifera_Cohn_Saccardo_Trotter_NRRL_1334_R1.fq.gz	Absidia_corymbifera_Cohn_Saccardo_Trotter_NRRL_1334_R2.fq.gz	Absidia_corymbifera_Cohn_Saccardo_Trotter_NRRL_1334.merge.fa	PSH17	NRRL_1334
Absidia_corymbifera_NRRL_1318_R1.fq.gz	Absidia_corymbifera_NRRL_1318_R2.fq.gz	Absidia_corymbifera_NRRL_1318.merge.fa	PSH18	NRRL_1318
Absidia_corymbifera_NRRL_1321_R1.fq.gz	Absidia_corymbifera_NRRL_1321_R2.fq.gz	Absidia_corymbifera_NRRL_1321.merge.fa	PSH19	NRRL_1321
Absidia_corymbifera_NRRL_1331_R1.fq.gz	Absidia_corymbifera_NRRL_1331_R2.fq.gz	Absidia_corymbifera_NRRL_1331.merge.fa	PSH20	NRRL_1331
Absidia_corymbifera_NRRL_1516_R1.fq.gz	Absidia_corymbifera_NRRL_1516_R2.fq.gz	Absidia_corymbifera_NRRL_1516.merge.fa	PSH21	NRRL_1516
Absidia_corymbifera_NRRL_1561_R1.fq.gz	Absidia_corymbifera_NRRL_1561_R2.fq.gz	Absidia_corymbifera_NRRL_1561.merge.fa	PSH22	NRRL_1561
Absidia_corymbifera_NRRL_1590_R1.fq.gz	Absidia_corymbifera_NRRL_1590_R2.fq.gz	Absidia_corymbifera_NRRL_1590.merge.fa	PSH23	NRRL_1590
Absidia_corymbifera_NRRL_2798_R1.fq.gz	Absidia_corymbifera_NRRL_2798_R2.fq.gz	Absidia_corymbifera_NRRL_2798.merge.fa	PSH24	NRRL_2798
Absidia_corymbifera_NRRL_2982_R1.fq.gz	Absidia_corymbifera_NRRL_2982_R2.fq.gz	Absidia_corymbifera_NRRL_2982.merge.fa	PSH25	NRRL_2982
Absidia_corymbifera_NRRL_3177_R1.fq.gz	Absidia_corymbifera_NRRL_3177_R2.fq.gz	Absidia_corymbifera_NRRL_3177.merge.fa	PSH26	NRRL_3177
Absidia_corymbifera_NRRL_6232_R1.fq.gz	Absidia_corymbifera_NRRL_6232_R2.fq.gz	Absidia_corymbifera_NRRL_6232.merge.fa	PSH27	NRRL_6232
Absidia_corymbifera_NRRL_6247_R1.fq.gz	Absidia_corymbifera_NRRL_6247_R2.fq.gz	Absidia_corymbifera_NRRL_6247.merge.fa	PSH28	NRRL_6247
Absidia_corymbifera_NRRL_6248_R1.fq.gz	Absidia_corymbifera_NRRL_6248_R2.fq.gz	Absidia_corymbifera_NRRL_6248.merge.fa	PSH29	NRRL_6248
Absidia_corymbifera_NRRL_6250_R1.fq.gz	Absidia_corymbifera_NRRL_6250_R2.fq.gz	Absidia_corymbifera_NRRL_6250.merge.fa	PSH30	NRRL_6250
Absidia_corymbifera_NRRL_A-13288_R1.fq.gz	Absidia_corymbifera_NRRL_A-13288_R2.fq.gz	Absidia_corymbifera_NRRL_A-13288.merge.fa	PSH31	NRRL_A-13288
Absidia_corymbifera_NRRL_A-13636_R1.fq.gz	Absidia_corymbifera_NRRL_A-13636_R2.fq.gz	Absidia_corymbifera_NRRL_A-13636.merge.fa	PSH32	NRRL_A-13636
Absidia_corymbifera_NRRL_A-14689_R1.fq.gz	Absidia_corymbifera_NRRL_A-14689_R2.fq.gz	Absidia_corymbifera_NRRL_A-14689.merge.fa	PSH33	NRRL_A-14689
Absidia_corymbifera_NRRL_A-14836_R1.fq.gz	Absidia_corymbifera_NRRL_A-14836_R2.fq.gz	Absidia_corymbifera_NRRL_A-14836.merge.fa	PSH34	NRRL_A-14836
Absidia_corymbifera_NRRL_A-18864_R1.fq.gz	Absidia_corymbifera_NRRL_A-18864_R2.fq.gz	Absidia_corymbifera_NRRL_A-18864.merge.fa	PSH35	NRRL_A-18864
Absidia_corymbifera_NRRL_A-23566_R1.fq.gz	Absidia_corymbifera_NRRL_A-23566_R2.fq.gz	Absidia_corymbifera_NRRL_A-23566.merge.fa	PSH36	NRRL_A-23566
Absidia_corymbifera_NRRL_A-25981_R1.fq.gz	Absidia_corymbifera_NRRL_A-25981_R2.fq.gz	Absidia_corymbifera_NRRL_A-25981.merge.fa	PSH37	NRRL_A-25981
Absidia_corymbifera_NRRL_A-25984_R1.fq.gz	Absidia_corymbifera_NRRL_A-25984_R2.fq.gz	Absidia_corymbifera_NRRL_A-25984.merge.fa	PSH38	NRRL_A-25984
Absidia_cuneospora_NRRL_2655_R1.fq.gz	Absidia_cuneospora_NRRL_2655_R2.fq.gz	Absidia_cuneospora_NRRL_2655.merge.fa	PSH39	NRRL_2655
Absidia_cuneospora_RSA_623+_R1.fq.gz	Absidia_cuneospora_RSA_623+_R2.fq.gz	Absidia_cuneospora_RSA_623+.merge.fa	PSH40	RSA_623_Plus
Absidia_cuneospora_RSA_624-_R1.fq.gz	Absidia_cuneospora_RSA_624-_R2.fq.gz	Absidia_cuneospora_RSA_624-.merge.fa	PSH41	RSA_624-
Absidia_cylindrospora_NRRL_1341_R1.fq.gz	Absidia_cylindrospora_NRRL_1341_R2.fq.gz	Absidia_cylindrospora_NRRL_1341.merge.fa	PSH42	NRRL_1341
Absidia_cylindrospora_NRRL_1342_R1.fq.gz	Absidia_cylindrospora_NRRL_1342_R2.fq.gz	Absidia_cylindrospora_NRRL_1342.merge.fa	PSH43	NRRL_1342
Absidia_cylindrospora_NRRL_1343_R1.fq.gz	Absidia_cylindrospora_NRRL_1343_R2.fq.gz	Absidia_cylindrospora_NRRL_1343.merge.fa	PSH44	NRRL_1343
Absidia_cylindrospora_NRRL_1345_R1.fq.gz	Absidia_cylindrospora_NRRL_1345_R2.fq.gz	Absidia_cylindrospora_NRRL_1345.merge.fa	PSH45	NRRL_1345
Absidia_cylindrospora_NRRL_13891_R1.fq.gz	Absidia_cylindrospora_NRRL_13891_R2.fq.gz	Absidia_cylindrospora_NRRL_13891.merge.fa	PSH46	NRRL_13891
Absidia_cylindrospora_NRRL_1560_R1.fq.gz	Absidia_cylindrospora_NRRL_1560_R2.fq.gz	Absidia_cylindrospora_NRRL_1560.merge.fa	PSH47	NRRL_1560
Absidia_cylindrospora_NRRL_3069_R1.fq.gz	Absidia_cylindrospora_NRRL_3069_R2.fq.gz	Absidia_cylindrospora_NRRL_3069.merge.fa	PSH48	NRRL_3069
Absidia_cylindrospora_var._cylindrospora_NRRL_2796_R1.fq.gz	Absidia_cylindrospora_var._cylindrospora_NRRL_2796_R2.fq.gz	Absidia_cylindrospora_var._cylindrospora_NRRL_2796.merge.fa	PSH49	NRRL_2796
Absidia_cylindrospora_var._nigra_NRRL_3031_R1.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3031_R2.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3031.merge.fa	PSH50	NRRL_3031
Absidia_cylindrospora_var._nigra_NRRL_3032_R1.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3032_R2.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3032.merge.fa	PSH51	NRRL_3032
Absidia_cylindrospora_var._nigra_NRRL_3060_R1.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3060_R2.fq.gz	Absidia_cylindrospora_var._nigra_NRRL_3060.merge.fa	PSH52	NRRL_3060
Absidia_dubia_NRRL_1322_R1.fq.gz	Absidia_dubia_NRRL_1322_R2.fq.gz	Absidia_dubia_NRRL_1322.merge.fa	PSH53	NRRL_1322
Absidia_glauca_NRRL_1324_R1.fq.gz	Absidia_glauca_NRRL_1324_R2.fq.gz	Absidia_glauca_NRRL_1324.merge.fa	PSH54	NRRL_1324
Absidia_glauca_NRRL_1327_R1.fq.gz	Absidia_glauca_NRRL_1327_R2.fq.gz	Absidia_glauca_NRRL_1327.merge.fa	PSH55	NRRL_1327
Absidia_glauca_NRRL_1328_R1.fq.gz	Absidia_glauca_NRRL_1328_R2.fq.gz	Absidia_glauca_NRRL_1328.merge.fa	PSH56	NRRL_1328
Absidia_glauca_NRRL_2460_R1.fq.gz	Absidia_glauca_NRRL_2460_R2.fq.gz	Absidia_glauca_NRRL_2460.merge.fa	PSH57	NRRL_2460
Absidia_glauca_NRRL_3010_R1.fq.gz	Absidia_glauca_NRRL_3010_R2.fq.gz	Absidia_glauca_NRRL_3010.merge.fa	PSH58	NRRL_3010
Absidia_glauca_NRRL_A-25980_R1.fq.gz	Absidia_glauca_NRRL_A-25980_R2.fq.gz	Absidia_glauca_NRRL_A-25980.merge.fa	PSH59	NRRL_A-25980
Absidia_hyalospora_NRRL_1330_R1.fq.gz	Absidia_hyalospora_NRRL_1330_R2.fq.gz	Absidia_hyalospora_NRRL_1330.merge.fa	PSH60	NRRL_1330
Absidia_inflata_NRRL_6591_R1.fq.gz	Absidia_inflata_NRRL_6591_R2.fq.gz	Absidia_inflata_NRRL_6591.merge.fa	PSH61	NRRL_6591
Absidia_macrospora_NRRL_3768_R1.fq.gz	Absidia_macrospora_NRRL_3768_R2.fq.gz	Absidia_macrospora_NRRL_3768.merge.fa	PSH62	NRRL_3768
